id,name,followers,popularity
384DhgGNBZ91pyVJF61u18,Gyroscope,29412,41
1aVud1rCHS8xrpDjI7zEUy,Alex Lloyd,22961,42
3YUrEElXpqiPSbffh9XXZd,Rogue Traders,21818,42
6CsleyOZtyt16saX8WhzDx,Brother Ali,181202,53
05STafdfQBBQIV9duONwod,Children Collide,18765,39
5JmeloS88DjYXJulG7qgwF,The Getaway Plan,16386,39
3rQZpe0EHJWXItfc2OzzKf,The McClymonts,25004,42
34sQ4BJAwfwQsn9OgJtIzj,The Potbelleez,13761,38
7bhcf6U7Lu1Ra9u0oWLM5x,DiRTY RADiO,10012,49
5O83Dn8cY3RNwhQKADA175,Andy Bull,14379,37
10nZL5iEI60Z11z1BUtfRj,Graeme Connors,8832,36
5AHMfr68CzfjKxMU7MQAeZ,Washington,32484,42
76KHdORVQMt7L6nVzvOUph,The Jezabels,104098,45
4hm93MMBwaigySK5IZ2B8n,Bitter Belief,7464,34
41U5QueLMyYyJ3Hoe4kKX4,Gurrumul,30048,44
3mZqziCJj4pq3P2VBpmK6p,Friendly Fires,221516,51
6B9zcemB6pCVlbLac9pwWF,Hillsong Kids,43352,45
11PYyk3kBXjDIFHiCc0psS,Paul Dempsey,23173,38
4TBZbclpBnXENejnt0ZIpr,Angus Stone,122830,44
500YRyClzP6Z7HtWd1BIje,Northeast Party House,42423,52
3swwiYEQQzPNGvMdEhqReR,Twelve Foot Ninja,84124,46
0fVhP9fCtZ2f0Fy9Ie7Dh8,Bob Evans,18547,33
47yawJswuSfSvizYhItoOP,Something For Kate,64479,45
0LC7NokdNKQaBjwu5xaFjO,Chris Sebastian,10107,38
06LBSAoRYVLCzBU0HtlPW3,Fares Karam,173083,44
4ajzEXRIqw9kvEQQR4femH,Anthony Callea,19826,35
2j9Ronn6pPSxcsqnDbVGpZ,Urthboy,47525,42
7tje8UB3cuR1ZfeJx2U38T,Logan Mize,71625,60
35l8C1gkJPCOqrVPiCiICR,Dan Sultan,24187,44
2RnDmyX1zzOkK5Cj9QPhMq,L D R U,35456,46
4DIp9TFBq2eh9sQbD5YT9I,Nter,23677,41
6l5dAUNRhHnRSPPmRJSKQr,Marcus Marr,37967,49
0NXVGrFkPu0Cohh3BJV5Wx,28 Days,29855,41
3jEg5HvT2cuJQDjwjZxTb0,Timomatic,27986,41
1ououJVWgWsHWMYDLvT7sH,Ball Park Music,114763,56
7Fe4vD5WyjtFxlxSO0d7lP,Complete,34099,49
3N9qpKjXarCt5AIZRCeqr8,Seth Sentry,95989,51
7sCcPQQft3sSxcJaB30dlb,Bluejuice,34884,48
0E3lRHTut04XpirvWC45bn,Ryan McCartan,23698,59
4UzQ37Y0rzonVpsXpcNyFH,Josh Pyke,64681,50
6KPdmtIl0LA5mRFSqseWhI,Trophy Eyes,76380,50
2ATweaQe83QUQVjM8LMh7J,Gengahr,46586,49
0WicR9iYAPd0Bi7i3bz9MB,Abby Anderson,24975,50
5ed39W9I1i3LRpNa6Jk1bG,Beccy Cole,20646,35
30BDCIM0IdglDaLzvCYd0N,In Hearts Wake,110779,51
0vntgse6gPZfthoW8kTTlR,Augie March,23238,43
74WcfqC2hmUFHEJs0PDqYi,Little Red,13782,43
6pOtVlJugMBAdUU8OU1xDe,Ainslie Wills,9611,50
6UBMFaCTZnL1Hr1nTOEblM,Gordi,40549,52
2NqgE99Ll5vOTvmbN7O2R6,Boy & Bear,224743,60
1ZcnsSFqWusWlRK01vKE6b,Montaigne,59414,56
07Q9n9pbwR6jQ8xH4SA46b,Justice Crew,95042,51
0lYzZ91QzokaPrRK1vq6tW,Nicole Millar,26736,50
4zOw0E0NA7B4lIYyc3XNt5,Kingswood,44894,44
3K40SMapVhc8PxyYFofHff,Corbin,92064,60
6L9bfTvOEA9BOJEIBhU4ln,Jebediah,54281,43
